fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
2006,motorcycle,0.87,motorcycle_273,695,278,849,534,no,0,0,0,0,0,
2007,car,0.68,car_253,1294,310,1363,368,no,0,0,0,0,0,
2007,car,0.74,car_268,1137,297,1213,359,no,0,0,0,0,0,
2007,car,0.66,car_274,1435,316,1512,379,no,0,0,0,0,0,
2007,motorcycle,0.87,motorcycle_273,676,274,835,544,no,0,0,0,0,0,
2008,car,0.70,car_253,1295,310,1362,367,no,0,0,0,0,0,
2008,car,0.74,car_268,1136,296,1213,359,no,0,0,0,0,0,
2008,car,0.66,car_274,1435,316,1512,379,no,0,0,0,0,0,
2008,motorcycle,0.91,motorcycle_273,648,272,814,555,no,0,0,0,0,0,
2009,car,0.67,car_253,1294,310,1360,366,no,0,0,0,0,0,
2009,car,0.74,car_268,1136,296,1213,359,no,0,0,0,0,0,
2009,car,0.65,car_274,1435,316,1512,379,no,0,0,0,0,0,
2009,motorcycle,0.88,motorcycle_273,618,271,795,567,no,0,0,0,0,0,
2010,car,0.67,car_253,1294,309,1359,364,no,0,0,0,0,0,
2010,car,0.74,car_268,1134,296,1214,360,no,0,0,0,0,0,
2010,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2010,motorcycle,0.85,motorcycle_273,585,271,770,576,no,0,0,0,0,0,
2011,car,0.68,car_253,1294,309,1358,363,no,0,0,0,0,0,
2011,car,0.74,car_268,1133,296,1214,360,no,0,0,0,0,0,
2011,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2011,motorcycle,0.86,motorcycle_273,545,268,751,592,no,0,0,0,0,0,
2012,car,0.68,car_253,1294,308,1357,363,no,0,0,0,0,0,
2012,car,0.75,car_268,1132,297,1213,362,no,0,0,0,0,0,
2012,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2012,motorcycle,0.77,motorcycle_273,501,267,725,610,no,0,0,0,0,0,
2013,car,0.64,car_253,1293,309,1356,361,no,0,0,0,0,0,
2013,car,0.76,car_268,1132,297,1212,362,no,0,0,0,0,0,
2013,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2013,motorcycle,0.69,motorcycle_273,455,265,698,625,no,0,0,0,0,0,
2014,car,0.65,car_253,1291,309,1355,361,no,0,0,0,0,0,
2014,car,0.77,car_268,1132,296,1211,363,no,0,0,0,0,0,
2014,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2014,motorcycle,0.79,motorcycle_273,404,253,658,640,no,0,0,0,0,0,
2015,car,0.66,car_253,1291,308,1354,360,no,0,0,0,0,0,
