fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
250,car,0.90,car_24,24,239,296,386,si,0.50,70,305,120,325,638DVC
251,car,0.88,car_1,434,211,658,424,si,0.62,507,318,583,341,6694GYV
251,car,0.79,car_14,315,200,396,290,no,0,0,0,0,0,
251,car,0.89,car_24,30,239,299,382,si,0.50,75,304,126,322,638DVC
252,car,0.88,car_1,434,210,659,424,si,0.62,507,318,583,341,6694GYV
252,car,0.79,car_14,316,200,397,287,no,0,0,0,0,0,
252,car,0.89,car_24,36,240,304,382,si,0.50,81,303,133,321,638DVC
253,car,0.88,car_1,434,210,659,424,si,0.62,507,318,585,341,6694GYV
253,car,0.80,car_14,317,200,397,285,no,0,0,0,0,0,
253,car,0.89,car_24,47,240,308,380,si,0.50,88,300,141,319,638DVC
254,car,0.87,car_1,435,210,659,423,si,0.62,507,317,590,342,6694GYV
254,car,0.82,car_14,318,200,398,284,no,0,0,0,0,0,
254,car,0.90,car_24,57,240,310,379,si,0.50,95,298,147,318,638DVC
255,car,0.88,car_1,435,210,659,423,si,0.62,506,317,593,342,6694GYV
255,car,0.82,car_14,320,201,397,284,no,0,0,0,0,0,
255,car,0.87,car_24,64,240,311,378,si,0.50,102,299,153,316,638DVC
256,car,0.88,car_1,434,211,659,423,si,0.62,506,317,603,343,6694GYV
256,car,0.82,car_14,324,201,399,284,no,0,0,0,0,0,
256,car,0.84,car_24,70,239,314,379,si,0.50,108,294,159,314,638DVC
257,car,0.87,car_1,434,210,659,423,si,0.62,506,317,601,343,6694GYV
257,car,0.80,car_14,326,201,401,284,no,0,0,0,0,0,
257,car,0.84,car_24,77,238,315,378,si,0.50,114,293,163,314,638DVC
258,car,0.87,car_1,435,211,659,423,si,0.61,506,316,610,343,6694GYV
258,car,0.81,car_14,327,201,404,283,no,0,0,0,0,0,
258,car,0.85,car_24,76,237,318,369,si,0.50,121,292,169,312,638DVC
259,car,0.88,car_1,434,212,659,423,si,0.61,507,316,612,342,6694GYV
259,car,0.78,car_14,330,201,408,284,no,0,0,0,0,0,
259,car,0.86,car_24,80,234,320,364,si,0.50,127,291,174,310,638DVC
260,car,0.87,car_1,434,213,659,422,si,0.61,507,316,613,342,6694GYV
260,car,0.79,car_14,331,202,410,283,no,0,0,0,0,0,
260,car,0.86,car_24,86,233,322,360,si,0.50,130,289,181,308,638DVC
261,car,0.87,car_1,434,213,659,422,si,0.61,507,316,612,342,6694GYV
261,car,0.77,car_14,333,202,411,283,no,0,0,0,0,0,
261,car,0.84,car_24,94,233,324,358,si,0.50,139,289,185,307,638DVC
262,car,0.87,car_1,434,214,659,422,si,0.61,507,316,611,341,6694GYV
